holder_id,gross_interest_reported,first_name,last_name,nino,date_of_birth,address_line_1,town,postcode
H0000063,17.85,Tara,Quinn,GX105186A,1964-06-05,130 Jubilee Terrace,Bristol,BS21 8TT
H0000064,2236.53,Brian,Thackeray,ES149511B,1983-12-05,94 Jubilee Terrace,Cardiff,CF11 1WB
H0000065,688.69,Xiuying,Sinclair,SP103222A,2001-11-16,121 Eastgate,Nottingham,NG14 1FN
H0000066,4459.44,Grace,Nowak,ZY894047A,1957-04-01,212 Cathedral Close,Sheffield,S33 5PL
H0000067,3455.96,Sanjay,Thackeray,AX428141D,1941-07-31,235 Eastgate,Manchester,M34 1BY
H0000068,1737.8,Tara,Kaur,MB084918B,1999-03-08,115 Alder Way,Cardiff,CF4 4BF
H0000069,1093.06,Eleanor,Lindqvist,ZE838322B,1979-05-03,175 Ivywood Crescent,Cardiff,CF37 1SH
H0000070,679.16,Grace,Pemberton,HT026073D,1965-11-15,138 Jubilee Terrace,Manchester,M13 1LA
H0000071,1826.45,Farid,Bhatt,AR338950A,1969-06-19,172 Hollybank Avenue,Sheffield,S37 9BL
H0000072,1091.41,Lucy,Rahman,YX376918A,1966-07-11,9 Hollybank Avenue,Birmingham,B14 5YZ
H0000073,3543.55,Aisha,Yates,BA922128C,1941-09-04,113 Granby Row,Manchester,M37 4ZA
H0000074,157.3,Niamh,Yates,AX102422A,1967-09-07,132 Cathedral Close,Newcastle upon Tyne,NE19 5PE
H0000075,2112.77,Hamish,Quinn,OA516153C,1945-10-14,126 Hollybank Avenue,Bristol,BS36 4DH
H0000078,3270.96,Catherine,Fitzgerald,MK972766C,1950-03-03,215 Dovecote Lane,Sheffield,S12 8NG
H0000079,4179.8,Hamish,Whitfield,HL357289C,1958-10-05,115 Fenwick Street,Bristol,BS34 5DA
H0000080,1791.77,Tara,Gill,CH478375A,1950-02-05,174 Alder Way,Bristol,BS12 9BN
H0000081,375.12,Brian,Whitfield,RH073692D,2000-03-02,98 Jubilee Terrace,Glasgow,G25 8YH
H0000082,42.81,William,Nowak,AL320414D,1975-09-09,124 Granby Row,Glasgow,G5 4JW
H0000083,1617.82,Rosalind,Rahman,GP079823B,1984-08-16,117 Eastgate,Manchester,M31 8TT
H0000084,30.5,Hamish,Zielinski,GM993869A,1983-03-16,167 Cathedral Close,Leeds,LS6 4WL
H0000085,180.75,Lucy,Iqbal,RG525147C,1978-04-26,3 Jubilee Terrace,Manchester,M10 4UP
H0000086,1168.01,Xiuying,Zielinski,YC121800B,1959-08-31,218 Cathedral Close,Newcastle upon Tyne,NE26 6TL
H0000087,2795.98,Tara,Doyle,EM270642C,1966-01-23,57 Alder Way,Sheffield,S39 6PJ
H0000088,378.46,Imogen,Lindqvist,WY829945D,2001-03-06,145 Jubilee Terrace,Sheffield,S37 1LR
H0000089,343.58,Mohammed,Vasquez,WS474552C,1994-10-22,71 Bramley Road,Birmingham,B2 1TW
H0000090,3169.38,Rosalind,Ubadike,LM354086A,1980-12-29,235 Hollybank Avenue,Bristol,BS3 8WH
H0000091,294.38,Hamish,Sinclair,OJ194387C,1952-07-20,192 Fenwick Street,Manchester,M31 7HQ
H0000092,4799.6,Kwame,Kaur,NH097213D,1958-08-29,8 Alder Way,Manchester,M35 1WL
H0000093,2526.06,Niamh,Lindqvist,YK136956B,1964-07-27,215 Dovecote Lane,Leeds,LS21 6HS
H0000094,93.97,Sanjay,Rahman,LY435506A,1962-02-05,133 Hollybank Avenue,Leeds,LS4 2US
H0000095,88.36,Imogen,Yates,JH402127C,1942-06-25,37 Ivywood Crescent,Leeds,LS6 2LT
H0000096,2694.37,Grace,Xu,MN656930D,2003-02-06,142 Fenwick Street,Bristol,BS36 9TG
H0000097,3924.35,Mohammed,Lindqvist,WH167435D,1940-07-21,212 Ivywood Crescent,Sheffield,S10 5PQ
H0000098,5158.89,Oluwaseun,Hargreaves,MX931785A,1954-04-13,118 Eastgate,Birmingham,B4 9XS
H0000099,482.24,Brian,Hargreaves,SS134144D,1963-09-10,48 Ivywood Crescent,Leeds,LS26 5UN
H0000100,1932.98,Xiuying,Hargreaves,PK004402C,1946-09-12,6 Cathedral Close,Leeds,LS10 9FN
H0000101,543.31,Dev,Jenkins,MN860875A,1943-07-04,222 Jubilee Terrace,Sheffield,S34 5PH
H0000102,5979.59,Ualan,Whitfield,SH657620D,1986-11-20,89 Cathedral Close,Glasgow,G24 8GP
H0000103,1279.92,Catherine,Kaur,YA712824C,1999-05-14,18 Alder Way,Norwich,NR19 7LY
H0000104,1239.96,Kwame,Zielinski,XS642400A,1970-10-18,231 Cathedral Close,Cardiff,CF37 7JZ
H0000105,4083.01,Jaspreet,Abbott,YB791700D,2005-05-13,48 Hollybank Avenue,Newcastle upon Tyne,NE23 9SS
H0000107,37.37,Zainab,Gill,RY538808D,1944-09-20,82 Hollybank Avenue,Newcastle upon Tyne,NE24 5AQ
H0000108,2804.69,Brian,Doyle,SN435675D,1948-03-17,150 Bramley Road,Cardiff,CF20 4SH
H0000109,1911.39,William,Vasquez,PS979740D,1970-12-18,151 Jubilee Terrace,Sheffield,S1 7HW
H0000110,4.79,Imogen,Okonkwo,RZ243310A,1996-09-30,178 Granby Row,Birmingham,B11 9QP
H0000111,1808.31,Kwame,Nowak,NR961823B,1945-10-16,98 Jubilee Terrace,Glasgow,G9 3QD
H0000112,766.78,Brian,Lindqvist,WX202421C,1981-07-23,222 Bramley Road,Cardiff,CF23 8PQ
H0000113,4553.04,Farid,Whitfield,HW246550C,1947-04-20,170 Ivywood Crescent,Bristol,BS13 9AF
H0000114,901.38,Sanjay,Iqbal,SA952257D,1959-03-24,79 Jubilee Terrace,Manchester,M28 9GT
H0000116,821.93,Sanjay,Abbott,HC896185C,1965-06-29,89 Dovecote Lane,Nottingham,NG36 5DE
H0000117,1598.09,Quentin,Sinclair,AG108085B,1985-07-15,235 Ivywood Crescent,Birmingham,B39 3GS
H0000118,5775.06,Priya,Xu,OP631415D,1990-02-25,197 Eastgate,Manchester,M13 2ZZ
H0000119,571.4,Ualan,Mensah,WH159302B,1940-03-01,144 Dovecote Lane,Glasgow,G29 5BA
H0000120,30.7,Oluwaseun,Lindqvist,RH665703D,1962-06-21,33 Jubilee Terrace,Nottingham,NG1 3WT
H0000121,2012.29,Aisha,Gill,EK575467D,1999-10-04,220 Granby Row,Nottingham,NG39 8TP
H0000122,1275.24,Tara,Xu,SW675475D,1963-08-03,77 Cathedral Close,Newcastle upon Tyne,NE36 5DR
H0000123,1777.09,Verity,Eriksson,SY979922B,1979-10-24,185 Alder Way,Norwich,NR27 6XG
H0000124,1188.48,Rosalind,Abbott,WL349109B,1973-03-10,87 Cathedral Close,Norwich,NR7 2PA
H0000125,4187.84,Eleanor,Zielinski,AT275660B,1940-12-21,234 Fenwick Street,Bristol,BS23 9JX
H0000126,6454.06,William,Kaur,MJ656264C,1944-01-14,10 Ivywood Crescent,Manchester,M27 4DP
H0000127,3800.13,Kwame,Pemberton,PS803119D,1964-09-18,188 Granby Row,Glasgow,G11 9AP
H0000128,1066.5,Aisha,Thackeray,YL017673A,1947-10-01,111 Granby Row,Manchester,M15 4JR
H0000129,3511.71,Niamh,Kaur,JX912097C,1975-10-15,230 Bramley Road,Sheffield,S7 8BZ
H0000130,691.21,Catherine,Ubadike,OL329650B,1992-08-18,222 Alder Way,Birmingham,B27 3XD
H0000131,704.39,Lucy,Iqbal,PZ396791D,1940-07-23,115 Hollybank Avenue,Cardiff,CF39 4QN
H0000132,4949.0,Jaspreet,Mensah,TX277597C,1973-12-21,109 Hollybank Avenue,Manchester,
H0000133,856.02,William,Jenkins,SW131710A,2000-08-10,24 Dovecote Lane,Glasgow,G25 5QB
H0000134,185.17,Oluwaseun,Yates,NC453082B,1949-11-01,75 Hollybank Avenue,Nottingham,NG22 9EG
H0000135,544.51,Jaspreet,Chowdhury,ES044286A,1993-12-02,231 Alder Way,Birmingham,B25 7FE
H0000136,1786.17,Farid,Eriksson,XZ256759B,1978-06-12,103 Fenwick Street,Newcastle upon Tyne,NE37 1ZY
H0000137,3106.29,Imogen,Okonkwo,XZ291147A,1999-02-09,59 Cathedral Close,Manchester,M27 3DY
H0000138,3134.79,Hamish,Thackeray,SH384236B,1983-11-06,154 Dovecote Lane,Bristol,BS10 8TN
H0000139,3922.77,Priya,Pemberton,BY280463D,2002-02-10,41 Ivywood Crescent,Nottingham,NG2 1GB
H0000140,507.15,Brian,Vasquez,RN736533B,1970-01-16,125 Eastgate,Cardiff,CF32 7LG
H0000141,2627.28,Ualan,Whitfield,XE274283B,1966-04-04,91 Fenwick Street,Manchester,M22 1JS
H0000142,7256.31,Zainab,Ubadike,EN184081A,1990-04-26,225 Hollybank Avenue,Cardiff,CF23 3ZB
H0000143,3078.21,Hamish,Bhatt,RK584652A,1958-09-21,129 Dovecote Lane,Newcastle upon Tyne,NE18 1DA
H0000144,2745.4,Imogen,Abbott,GW648376A,1958-07-29,126 Dovecote Lane,Sheffield,S30 8XA
H0000145,593.13,Oluwaseun,Mensah,AB564193D,1989-03-27,44 Granby Row,Nottingham,NG36 5YJ
H0000146,2365.8,Hamish,Quinn,JZ159302A,1957-11-09,181 Eastgate,Nottingham,NG35 6RD
H0000147,319.94,Mohammed,Xu,YM836450C,1999-03-24,222 Jubilee Terrace,Leeds,LS37 1GS
H0000148,461.03,Eleanor,Whitfield,RW654849B,1941-04-03,86 Cathedral Close,Manchester,M14 3PX
H0000149,689.62,Lucy,Lindqvist,XP130232C,1982-06-23,200 Cathedral Close,Leeds,LS7 9HZ
H0000150,4066.21,Tara,Eriksson,TK457734D,1998-02-07,191 Bramley Road,Cardiff,CF10 1WZ
H0000151,2369.24,Zainab,Pemberton,GR070708C,1969-10-09,131 Fenwick Street,Manchester,M29 3ZX
H0000152,2976.18,Oluwaseun,Lindqvist,AA493357D,1991-08-04,57 Alder Way,Bristol,BS11 5YY
H0000154,1451.16,Niamh,Nowak,GZ984461B,1950-08-18,176 Alder Way,Cardiff,CF20 7QN
H0000155,1528.3,Eleanor,Zielinski,NS031322D,1970-09-30,209 Bramley Road,Norwich,NR29 1HZ
H0000156,4660.1,Eleanor,Bhatt,NC429811D,1953-12-21,33 Eastgate,Leeds,LS24 1WB
H0000157,4765.15,Brian,Nowak,GL668533A,1940-10-14,71 Bramley Road,Norwich,NR40 2AU
H0000158,5129.61,Ualan,Vasquez,NW577569C,1954-06-24,108 Jubilee Terrace,Norwich,NR11 2XE
H0000159,666.81,Priya,Rahman,JY701863A,2004-11-22,229 Granby Row,Glasgow,G36 2EL
H0000160,2088.91,Quentin,Gill,WM432963C,1983-03-12,39 Fenwick Street,Nottingham,NG9 1XQ
H0000161,12.27,Farid,Kaur,WR884303B,,90 Hollybank Avenue,Birmingham,B32 3WZ
H0000162,51.2,Kwame,Doyle,PE431502D,1951-10-14,195 Jubilee Terrace,Nottingham,NG6 6BE
H0000163,2084.08,Eleanor,Quinn,NB807535D,1992-08-30,74 Bramley Road,Newcastle upon Tyne,NE27 4JF
H0000164,5007.76,Yusuf,Eriksson,BH922079D,1978-07-09,216 Alder Way,Leeds,LS29 6UF
H0000165,4052.68,Sanjay,Fitzgerald,EJ633035C,1965-02-25,140 Cathedral Close,Bristol,BS1 5HR
H0000166,10646.31,Mohammed,Mensah,WH300915D,1972-12-21,60 Jubilee Terrace,Glasgow,G31 3FR
H0000167,3917.78,Rosalind,Mensah,HM689752C,1971-03-29,225 Hollybank Avenue,Cardiff,CF34 7NY
H0000168,1673.56,Ualan,Jenkins,JJ726727A,1948-05-31,168 Fenwick Street,Newcastle upon Tyne,NE34 7JY
H0000169,1413.63,Quentin,Hargreaves,MX783918D,2001-09-22,15 Alder Way,Sheffield,S32 6LJ
H0000170,42.55,Oluwaseun,Sinclair,OE935060C,1961-01-14,39 Fenwick Street,Bristol,BS23 3YY
H0000171,4715.45,Grace,Gill,AT120679C,1954-04-03,23 Eastgate,Glasgow,G39 7WH
H0000172,1190.78,William,Nowak,SN102419B,1951-04-30,192 Bramley Road,Leeds,LS21 7NY
H0000173,2652.99,Dev,Quinn,TE870594C,1980-07-04,153 Fenwick Street,Sheffield,S23 1NB
H0000174,325.92,Farid,Rahman,XC334688C,2001-02-25,57 Bramley Road,Manchester,M7 3GL
H0000175,30.17,Brian,Thackeray,AG992670C,1969-04-01,235 Ivywood Crescent,Manchester,M11 4LW
H0000176,696.75,Sanjay,Gill,BP175650A,1997-09-20,169 Bramley Road,Glasgow,G39 6DE
H0000177,57.89,Quentin,Quinn,AN295638A,1963-10-12,183 Alder Way,Leeds,LS8 8UW
H0000178,104.92,Rosalind,Nowak,XG321326C,1960-05-06,204 Alder Way,Glasgow,G32 5ZP
H0000179,2295.78,Catherine,Mensah,PL520449C,1981-05-30,80 Dovecote Lane,Leeds,LS19 1QU
H0000180,2553.91,Kwame,Ubadike,TK391509B,2000-01-27,163 Granby Row,Newcastle upon Tyne,NE34 7ZY
H0000182,3702.17,Jaspreet,Whitfield,XJ512939C,2000-07-30,176 Alder Way,Newcastle upon Tyne,NE3 6TA
H0000183,5550.75,Ualan,Lindqvist,ZR433627D,1965-02-19,2 Granby Row,Nottingham,NG27 2GA
H0000184,5375.85,Brian,Abbott,SH738657B,1966-05-25,64 Eastgate,Glasgow,G11 9GL
H0000185,2274.27,Hamish,Okonkwo,AC396471C,1952-02-01,178 Hollybank Avenue,Glasgow,G23 5YX
H0000186,2120.44,Eleanor,Quinn,KE158205C,1953-03-21,143 Granby Row,Cardiff,CF11 4HS
H0000187,613.49,Catherine,Ubadike,XA813508C,1980-02-19,172 Fenwick Street,Newcastle upon Tyne,NE38 9BZ
H0000189,3239.86,Quentin,Bhatt,WK223044A,1946-04-19,236 Ivywood Crescent,Manchester,M34 6PT
H0000190,3332.99,Eleanor,Doyle,KA495523A,1956-09-14,221 Ivywood Crescent,Bristol,BS33 4JX
H0000191,509.02,Tara,Whitfield,MY411159D,1974-08-21,194 Alder Way,Nottingham,NG30 4JX
H0000192,37.24,Tara,Ubadike,MN197055B,1942-08-04,205 Cathedral Close,Norwich,NR19 1DX
H0000194,167.17,Zainab,Vasquez,NG496378C,1946-03-10,114 Hollybank Avenue,Norwich,NR18 6QJ
H0000195,2760.31,Tara,Fitzgerald,WJ064591C,1976-01-06,211 Fenwick Street,Sheffield,S26 3FW
H0000196,4170.51,Lucy,Pemberton,GS672087A,1978-05-16,129 Bramley Road,Sheffield,S2 1ZD
H0000197,1462.63,Dev,Abbott,OH302921D,1964-07-22,34 Hollybank Avenue,Leeds,LS24 7BG
H0000198,6042.82,Imogen,Zielinski,NS367716A,1995-09-05,24 Hollybank Avenue,Glasgow,G34 5GZ
H0000199,2273.43,Mohammed,Ubadike,ZE620949A,1987-02-02,172 Alder Way,Sheffield,S31 2RE
H0000200,1390.24,Lucy,Lindqvist,AM723324C,2004-07-13,24 Bramley Road,Norwich,NR18 9JH
H0000201,1904.3,Aisha,Hargreaves,JZ487926C,1951-09-18,225 Dovecote Lane,Cardiff,CF6 2GF
H0000202,4138.46,Hamish,Quinn,PK832660C,1967-06-24,203 Ivywood Crescent,Sheffield,S4 4TD
H0000203,688.13,Aisha,Doyle,SE704173B,1965-05-11,117 Fenwick Street,Norwich,NR38 1EJ
H0000204,547.92,Yusuf,Zielinski,GH912440D,1979-08-07,32 Eastgate,Newcastle upon Tyne,NE6 4JD
H0000205,2713.08,Zainab,Xu,AA560852C,1952-10-04,81 Hollybank Avenue,Manchester,M29 4FP
H0000206,4703.3,Quentin,Thackeray,OX804086C,1972-09-04,103 Bramley Road,Birmingham,B1 4HQ
H0000208,1112.57,Zainab,Whitfield,ZY058102D,1941-11-25,122 Jubilee Terrace,Norwich,NR24 1XT
H0000209,624.81,Brian,Lindqvist,LX482571D,1994-06-05,48 Fenwick Street,Nottingham,NG3 1UH
H0000210,1048.74,Grace,Hargreaves,YJ112132C,1978-04-10,40 Bramley Road,Birmingham,B39 6QH
H0000211,982.97,Hamish,Zielinski,KA325612C,1960-07-13,68 Hollybank Avenue,Manchester,M9 1SP
H0000212,3629.3,Aisha,Abbott,OJ445368C,1976-04-07,114 Dovecote Lane,Birmingham,B18 9HU
H0000213,3163.35,Imogen,Nowak,HK676754C,1961-10-02,11 Hollybank Avenue,Birmingham,B38 8GQ
H0000214,585.74,Priya,Mensah,OE567166B,1971-05-06,59 Jubilee Terrace,Cardiff,CF2 4HA
H0000215,2220.0,Yusuf,Okonkwo,EX672603B,1983-04-14,147 Fenwick Street,Norwich,NR33 6NF
H0000216,1863.73,Ualan,Jenkins,SJ929507D,1984-10-18,140 Fenwick Street,Nottingham,NG30 1QU
H0000217,24.79,Niamh,Lindqvist,KM166072A,1968-07-29,162 Granby Row,Newcastle upon Tyne,NE23 4XX
H0000218,5163.06,Dev,Mensah,WM464799B,1966-12-03,48 Fenwick Street,Nottingham,NG25 2SD
H0000220,2240.81,Brian,Sinclair,BW409942A,1997-12-30,44 Cathedral Close,Nottingham,NG21 6QT
H0000221,58.49,Ualan,Doyle,PZ615017B,,160 Fenwick Street,Norwich,NR10 6FB
H0000222,458.48,Dev,Chowdhury,TP111316D,1983-07-28,185 Granby Row,Leeds,LS4 3FP
H0000223,645.36,William,Zielinski,JZ688607C,1973-07-06,82 Granby Row,Birmingham,B39 9LF
H0000224,2675.6,Yusuf,Yates,ZB159646B,1948-06-27,208 Alder Way,Glasgow,G25 5YF
H0000226,210.97,Imogen,Gill,YX607913C,1950-12-02,163 Jubilee Terrace,Nottingham,NG10 9HD
H0000227,1572.74,Lucy,Nowak,ZX088143C,1990-12-16,78 Fenwick Street,Bristol,BS20 1AW
H0000228,939.12,Niamh,Whitfield,YG745966D,2005-06-12,206 Eastgate,Bristol,BS39 7DZ
H0000229,1195.31,Zainab,Rahman,MK166796B,1989-03-19,22 Jubilee Terrace,Sheffield,S23 5BZ
H0000231,43.72,Brian,Pemberton,PN878901B,1996-05-27,151 Alder Way,Sheffield,S13 2YH
H0000232,5211.03,Tara,Doyle,JT513562A,1984-03-19,65 Granby Row,Newcastle upon Tyne,NE1 1QZ
H0000233,4292.52,Ualan,Yates,OB153578B,1942-08-18,206 Ivywood Crescent,Leeds,LS9 6ZB
H0000234,1659.31,Quentin,Whitfield,AM807164D,1972-06-02,235 Dovecote Lane,Manchester,M10 9JA
H0000235,171.16,Oluwaseun,Xu,WW296847D,1963-07-03,188 Hollybank Avenue,Leeds,LS36 1SY
H0000236,3473.65,William,Nowak,TJ405214B,1997-05-07,236 Bramley Road,Birmingham,B15 8WH
H0000237,1775.8,Hamish,Vasquez,CJ895872B,1959-12-07,219 Alder Way,Sheffield,S8 1DN
H0000238,363.88,Aisha,Xu,KG374278A,1944-05-05,70 Jubilee Terrace,Cardiff,CF20 8LY
H0000239,569.49,Jaspreet,Iqbal,HN571028B,1952-12-26,50 Bramley Road,Norwich,NR31 2AH
H0000240,139.05,Jaspreet,Nowak,TL686424B,2004-02-04,39 Bramley Road,Sheffield,S34 4RR
H0000241,2576.0,Niamh,Hargreaves,HM209558D,1953-11-02,137 Ivywood Crescent,Newcastle upon Tyne,NE27 8RT
H0000242,1687.02,Catherine,Hargreaves,RJ213554A,1980-10-11,96 Bramley Road,Cardiff,CF33 4BD
H0000243,664.03,Grace,Doyle,OM073575C,1989-11-25,115 Dovecote Lane,Glasgow,
H0000246,5850.19,Kwame,Pemberton,PW825092D,1946-03-19,171 Granby Row,Norwich,NR24 8ER
H0000247,3721.07,Verity,Ubadike,MB088083C,2000-06-22,15 Ivywood Crescent,Cardiff,CF18 1YG
H0000248,4656.09,Imogen,Bhatt,RA471726B,1964-06-16,43 Eastgate,Manchester,M19 3AT
H0000249,4643.64,Rosalind,Quinn,OJ307642C,1945-01-08,232 Alder Way,Cardiff,CF24 8TJ
H0000250,1596.1,Priya,Ubadike,BN910308C,1946-12-31,200 Dovecote Lane,Nottingham,NG38 1XL
H0000251,1208.95,Sanjay,Doyle,EP772248D,1961-09-18,5 Alder Way,Bristol,BS10 8DT
H0000253,52.78,Eleanor,Jenkins,RP760619A,1957-04-21,61 Hollybank Avenue,Leeds,LS6 2YR
H0000254,1362.91,Niamh,Rahman,HK814185C,1961-02-04,54 Cathedral Close,Glasgow,G35 5HD
H0000255,3048.05,Zainab,Pemberton,HH093842C,1982-04-02,209 Fenwick Street,Nottingham,NG15 7NH
H0000256,1080.47,Verity,Iqbal,MZ961711B,1981-12-05,81 Cathedral Close,Sheffield,S40 6XR
H0000257,3207.78,Ualan,Xu,KZ986362A,1983-05-25,26 Dovecote Lane,Norwich,NR26 6LZ
H0000258,2128.43,Brian,Zielinski,WM317953D,1948-03-17,133 Alder Way,Nottingham,NG20 2QN
H0000259,2019.81,Verity,Hargreaves,CX568818A,,12 Dovecote Lane,Glasgow,G10 2LU
H0000260,819.21,Yusuf,Doyle,JX832688C,1994-09-15,25 Bramley Road,Cardiff,CF6 6GH
H0000261,1891.87,Grace,Sinclair,LC314876B,1946-06-29,103 Granby Row,Leeds,LS14 7DN
H0000262,242.18,Tara,Doyle,RM439745C,1940-10-19,101 Alder Way,Manchester,M35 1DD
H0000263,6.12,Mohammed,Quinn,PK268612A,1999-03-17,108 Alder Way,Birmingham,B21 4YP
H0000264,3618.27,Lucy,Fitzgerald,GP373052D,1992-10-17,98 Granby Row,Sheffield,S32 4BB
H0000265,633.13,Rosalind,Jenkins,XN943574C,1952-05-04,,Glasgow,G16 7RJ
